Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Credit as a concept;Seed;MC-AOTA;In finance, what does {{credit}} mean?;All of the above;Money that you don't have yet;Money you can borrow;Money that must be paid back later;Credit is money that you can borrow as a straight loan, or as credit for something you couldn't otherwise afford (like a house), provided that you pay it back over time (and usually with interest).;6
Credit as a concept;Retention;MC;What is the financial term for {{money that you can borrow}}?;Credit;Debt;Income;Expense;Credit is money that you can borrow as a straight loan, or as credit for something you couldn't otherwise afford (like a house), provided that you pay it back over time (and usually with interest).;8
Credit as a concept;Retention;MC;Money that you can choose to borrow if you need to is known as____________;Credit;Tax;Debt;Income;Credit is an amount of money that you can choose to borrow, provided that you pay it back over an agreed period of time. Once you actually borrow the money, it becomes debt.;9
Credit as a concept;Retention;MC;What is the general term for a person or business you can get credit from?;Lender;Borrower;Tax provider;Accountant;The general term for a person who provides credit is a lender. Lenders can be informal or formal. Formal, registered lending businesses are known as {{registered credit providers}}.;10
Credit as a concept;Retention;MC;Which of these is a more formal term for {{lender}};Credit provider;Income provider;Expense provider;Money provider;Lenders provide people with credit, either as straight loans or in the form of buying on credit. A more official term for a lender is {{credit provider}}.;13
Credit as a concept;Application;T/F;{{Credit}} describes an amount of money that you could borrow if you wanted to.;TRUE;FALSE;;;Credit is money that you can choose to borrow for something either as cash or to pay for something that you can't afford to buy immediately.;15
Credit as a concept;Application;T/F;Lenders are people or businesses you can get credit from.;TRUE;FALSE;;;Lenders provide people with credit, either as straight loans or as the option to buy on credit. A more official term for a lender is {{credit provider}}.;16
Credit as a concept;Application;Y/N;Is {{credit provider}} a more formal term for {{lender}}?;Yes;No;;;Credit providers are businesses who lend money, or provide other credit services such as credit cards, buying on credit and overdraft facilities.;16
Credit as a concept;Application;Y/N;Is a {{cash loan}} a type of credit?;Yes;No;;;They are many types of credit, including credit cards, vehicle finance agreements, home loans and simple cash loans, also known as {{personal loans}}. ;18
Credit as a concept;Application;MC;Which of these is most likely to be {{bought on credit}}?;Furniture;A loaf of bread;Nail polish;A cooldrink;People typically buy houses on credit using home loans, because they don't have enough money to pay the full price of a house immediately. It can take many years to pay off a house.;19
Credit as a concept;Seed;MC;How is credit different to debt?;Credit becomes debt once you to take it up;There is no difference;Credit doesn't come with interest;Debt doesn't come with interest;Credit and debt are two sides of the same coin. Credit is how much you can borrow, if you want to. The moment you actually borrow the money, it becomes debt and interest is usually added to it.;5
Credit as a concept;Retention;MC;Money that you owe is known as__________;Debt;Credit;Tax;Income;"In finance, ""debt"" is a word that describes the money that you owe to another person or business. The less individual debt you have, the more chances you have of being financially secure.";8
Credit as a concept;Retention;MC;The money that you owe after taking up credit is____________;Debt;Credit loan;Income tax;Net salary;Credit and debt are two sides of the same coin. Credit is how much you can borrow, if you want to. The moment you actually borrow the money, it becomes debt and interest is usually added to it.;10
Credit as a concept;Retention;MC;In order to get credit from a bank or respectable shop, you first have to____________;Apply for it;Have an interview;Write an exam;Have a connection;Any responsible lender (usually a registered credit provider) will try to find out whether or not you can afford to take up credit, before going ahead with the deal.;12
Credit as a concept;Application;T/F;Money that you have already borrowed is debt.;TRUE;FALSE;;;Credit and debt are two sides of the same coin. Credit is how much you can borrow, if you want to. The moment you actually borrow the money, it becomes debt.;15
Credit as a concept;Application;T/F;Credit is money that you have already borrowed.;FALSE;TRUE;;;Credit is an amount of money that you can choose to borrow if you don't have enough of your own money to pay for something straight away. Debt is money that you have already borrowed.;17
Credit as a concept;Application;T/F;You can get large amounts of credit from a responsible lender, even if you have no income.;FALSE;TRUE;;;A responsible lender (usually a registered credit provider) will ask you to apply for the credit you want and then either grant or decline your application, based on whether you can afford it.;18
Credit as a concept;Seed;MC;What is the basic purpose of credit?;To get things now by paying for them over time;To get things for free;To show appreciation;To buy things online;Credit is what people turn to when they don't immediately have enough of their own money. Credit can be an agreement to pay for something over time, revolving credit or a straight money loan.;2
Credit as a concept;Retention;MC;Which of these would most likely be bought using credit?;A car;A chocolate;A newspaper;An ice cream;Credit is most commonly used for larger, more expensive items or assets, such as cars and houses. Everyday items are more commonly bought using a person's actual money (their income).;8
Credit as a concept;Retention;MC;Which of these would most likely be bought using credit?;A house;A chocolate;A newspaper;An ice cream;Credit is most commonly used for larger, more expensive items or assets, such as cars and houses. Everyday items are more commonly bought using a person's actual money (their income).;10
Credit as a concept;Retention;MC-AOTA;Which of these are examples of credit?;All of the above;Personal loan;Home loan;Clothing store account;Anytime you get something straight away and then pay for it in smaller amounts over time, you are entering into a type of credit agreement, and you are usually charged interest.;11
Credit as a concept;Application;T/F;You can only get credit if you have a credit card.;FALSE;TRUE;;;Credit cards are just one type of credit. There are many other types of credit you can apply for without having a credit card, such as a personal loan or a store account.;16
Credit as a concept;Application;T/F;Every time you buy on credit, you are technically borrowing money.;TRUE;FALSE;;;Credit is an amount of money that you can choose to borrow if you don't have enough of your own money to pay for something straight away. Debt is money that you have already borrowed.;20
Credit as a concept;Seed;MC;If you want to get something now and pay for it over time, you could___________;Buy it on credit;Apply for debt;Demand a discount;Commit theft;Credit allows people to get the things they want now, without having to pay the full price straight away. Instead, they can pay small amounts over time until the item/asset is completely paid for.;3
Credit as a concept;Retention;MC;Which of these describes buying on credit?;Paying over a period of time;Paying all at once;Never paying;Paying less;Credit allows people to get the things they want now, without having to pay the full price straight away. Instead, they can pay small amounts over time until the item/asset is completely paid for.;8
Credit as a concept;Retention;T/F;If you {{finance}} a car you are buying it on credit.;TRUE;FALSE;;;When you finance a car, the finance house/bank let's you use and insure the car as if it were yours, but it only gets transferred into your name when you pay it off in full.;8
Credit as a concept;Retention;T/F;If you get a home loan, you are buying a house/apartment on credit.;TRUE;FALSE;;;When you get a home loan, the finance house/bank buys the house on your behalf, on the condition that you will pay them back over an agreed period of time.;10
Credit as a concept;Retention;T/F;If you use a clothing store account to buy new shoes, you are buying them on credit.;TRUE;FALSE;;;Clothing store accounts offer customers the option of buying items on credit, instead of paying the full price at the till. This is a type of revolving credit, and works similarly to a credit card.;13
