Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Setting spending limits and budgeting;Seed;MC;What is a budget?;A spending and saving plan;A list of debt;A special kind of credit;A list of only expenses;A budget is a spending and saving plan often for a period of time. It helps you keep track of your income, your savings and your spending now and for the future.;4
Setting spending limits and budgeting;Retention;MC;Why do people use budgets?;To help them keep track of their money;To help them waste money;To create more debt;To lose money;People make budgets to help them keep track of their money. Budgets can help people see how much they're earning and how much they're spending, as well as how much they're able to spend in the future.;8
Setting spending limits and budgeting;Retention;T/F;You can have short-term and long-term budgets.;TRUE;FALSE;;;You can have short-term budgets (usually for a year or less) and long-term budgets (usually for longer than a year).;8
Setting spending limits and budgeting;Retention;MC-AOTA;Where can you create and store your budgets?;All of the above;On your cellphone or computer;In a book or on a notepad;Through an app or computer programme;There are many ways you can create and store a budget. You can use the memo section of your phone, the notepad on your computer, an app or a computer programme. You can also use a book or notepad.;10
Setting spending limits and budgeting;Retention;Y/N;Is there only one type of budget?;No;Yes;;;There are many different types of budgets. You need to use a budget that suits your needs and financial goals.;9
Setting spending limits and budgeting;Application;MC;What can you create if you want to keep track of your money?;A budget;Debt;A credit score;An overdraft;A budget can help you keep track of your money. People use budgets to help them save, help them spend less or help them reach certain goals.;15
Setting spending limits and budgeting;Seed;MC-AOTA;To create a budget, you normally need to know:;All of the above;Your gross monthly income;Your total expenses;Your discretionary income;To create a budget, you normally need to know your net monthly income (income after deductions), your total expenses and your discretionary income.;5
Setting spending limits and budgeting;Retention;MC;How can you work out your expenses?;Look at bills, bank statements and receipts;Look at your payslip;Look at your tax certificate;Look at only your household bills;There are many different kinds of expenses. To accurately find out what your expenses are, you need to look at bills (electricity, water, TV), bank statements and receipts (food, clothes, petrol).;9
Setting spending limits and budgeting;Retention;T/F;Your discretionary income is what is left over once your expenses have been paid.;TRUE;FALSE;;;Your discretionary income is what is left over from your gross income after all your necessary expenses have been paid.;8
Setting spending limits and budgeting;Retention;MC;If you have a discretionary income, you can use it to:;Help you pay off any debt or save;Create more debt;Waste money;Save less money;If you have a discretionary income, you can budget to use that money to either help you pay off debt or to save.;9
