Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Contract basics;Seed;MC;What is a contract?;A binding agreement between two or more people;An agreement with one person;A slip from a shop;A special kind of credit;A contract is a legally-binding agreement between two or more people, companies or organisations. ;4
Contract basics;Retention;MC;What does {{legally binding}} mean?;Legal consequences for not obeying;When something is illegal;When something can't be enforced by the law;When something is illegal;If an agreement is legally-binding, you cannot break the agreement without facing some kind of consequence(s). ;9
Contract basics;Retention;MC;In contracts, what does {{party}} mean?;One of the sides entering into an agreement;A get together;A political organisation;A celebration;"In most contracts and/or legal agreements, ""parties"" is used to describe the different sides of the contract. If you're signing a contract, you are one of the ""parties"" to the contract.";12
Contract basics;Retention;MC;What happens if you don't follow the terms and conditions of a contract?;You breach the contract;You won't face penalties;There won't be any consequences;You can ask for another contract;When you don't obey the terms and conditions of a contract and don't honour your agreement, it's considered a breach of contract. When you breach a contract, you may face serious consequences.;10
Contract basics;Retention;MC;What can happen if you breach a contract?;You may face serious consequences;You won't face penalties;You can ask for another contract;Nothing happens;If you breach your contract, the other people (or organisation(s)) who have signed the contract with you can ask for compensation from you, such as money.;10
Contract basics;Application;T/F;If you enter into a contract, you are one of the parties to the agreement?;TRUE;FALSE;;;"In most contracts and/or legal agreements, ""parties"" is used to describe the different sides of the contract. If you're signing a contract, you are one of the ""parties"" to the contract.";17
Contract basics;Application;MC;Before entering into a contract, what must you do?;Read and fully understand the contract;Not listen to the contract ;Not honour the agreement;Ignore the contract and agreement;Ensure you read and fully understand your contact. This will help you understand all your obligations so that there's less chance of you breaching your contract. ;15
Contract basics;Seed;MC;Contracts can be:;Verbal or written;Only verbal;Only written;Only spoken;Contracts can be both verbal and written. Verbal contracts are spoken agreements between two or more people. Written contracts are easier to enforce than verbal ones.;5
Contract basics;Retention;MC;What is a verbal contract?;A spoken agreement between two or more people;A written agreement;A signed piece of paper;A signed contract;A verbal contract is a spoken agreement between two or more people. Verbal contracts are seen as slightly more informal than written ones, and a are harder to enforce.;8
Contract basics;Retention;T/F;Contracts always have to be written.;FALSE;TRUE;;;Contracts don't always have to be written. Sometimes contracts can be agreed to verbally, but written contracts give you more protection, especially in terms of the law.;8
