Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Applying for and accepting formal credit;Seed;MC-AOTA;What are some of the documents you need when applying for credit for yourself?;All of the above;Proof of residence;Payslips or bank statements (proof of income);ID book / card or passport;To apply for credit you need to prove your identity, your residential address (e.g. utility bill), your income and permission from your spouse (if you're married in community of property).;2
Applying for and accepting formal credit;Retention;MC-AOTA;Which of these documents do you need when applying for credit for yourself?;All of the above;Permission from spouse (if married in COP);Proof of residence and income;ID book / card or passport;To apply for credit you need to prove your identity, your residential address (e.g. utility bill), your income and permission from your spouse (if you're married in community of property).;9
Applying for and accepting formal credit;Retention;MC-AOTA;Which of the following do you need when applying for credit?;All of the above;Permission from spouse (if married in COP);Utility bill;Payslips or bank statements;To apply for credit you need to prove your identity, your residential address (e.g. utility bill), your income and permission from your spouse (if you're married in community of property).;9
Applying for and accepting formal credit;Application;MC-F;Which of these documents DON’T you need when applying for credit?;Tax return;Proof of identity;Proof of residence;All of the above;You don't need a tax return to apply for credit but you do need proof of residence and proof of your income.;16
Applying for and accepting formal credit;Seed;T/F;{{Married in community of property}} means the husband's assets and wife's assets belong to both spouses equally.;TRUE;FALSE;;;When people marry in community of property then both spouses' assets and debts are legally joint.;3
Applying for and accepting formal credit;Retention;MC;If the husband and wife jointly own both spouses' assets, they are married _____________;In community of property;Out of community of property;For convenience;In property of community;When people marry in community of property then both spouses' assets and debts are legally joint.;10
Applying for and accepting formal credit;Application;T/F;{{Married out of community of property}} means that both spouses' assets belong to both husband and wife equally.;FALSE;TRUE;;;Married IN community of property means that both spouses' assets and debts are legally joint.;17
Applying for and accepting formal credit;Seed;T/F;{{Married in community of property}} means that both husband and wife are ultimately responsible for each others' debts.;TRUE;FALSE;;;When people marry in community of property then both spouses' assets and debts are legally joint, so they share legal responsibility for either one's debt in the long term.;3
Applying for and accepting formal credit;Retention;MC;If the husband and wife are equally responsible for either spouse's debts, they are married _____________;In community of property;Out of community of property;According to the National Credit Act;In property of community;When people marry in community of property then both spouses' assets and debts are legally joint, so they share legal responsibility for either one's debt in the long term.;10
Applying for and accepting formal credit;Application;T/F;If you are {{married in community of property}} you are ultimately responsible for your spouse's debts.;TRUE;FALSE;;;When people marry in community of property then both spouses' assets and debts are legally joint, so they share legal responsibility for either one's debt in the long term.;17
Applying for and accepting formal credit;Seed;T/F;People who are {{married in community of property}} need permission from their spouse to apply for credit.;TRUE;FALSE;;;If you're married in community of property, you need permission from your spouse to enter into a credit agreement.;4
Applying for and accepting formal credit;Retention;MC;You need permission from your spouse to get credit if you're married _________;In community of property;Out of community of property;And you have children;Without accrual;People who are married in community of property need permission from their spouse to enter into a credit agreement.;11
Applying for and accepting formal credit;Application;T/F;No married person needs their spouse’s permission to enter into a credit agreement.;FALSE;TRUE;;;People who are married in community of property need permission from their spouse to enter into a credit agreement.;18
Applying for and accepting formal credit;Seed;Y/N;Do people who are {{married out of community of property}} need their spouse’s permission to get credit?;No;Yes;;;Only people who are married IN community of property need permission from their spouse to enter into a credit agreement.;4
Applying for and accepting formal credit;Retention;MC;You don't need permission from your spouse to get credit if you're married _________;Out of community of property;In community of property;In community of credit;Out of agreement of credit;If you're married out of community of property you don't need permission from your space to get credit.;11
Applying for and accepting formal credit;Application;T/F;If you’re {{married out of community of property}}, you need your spouse’s permission to get credit.;FALSE;TRUE;;;Only people who are married IN community of property need permission from their spouse to enter into a credit agreement.;18
Applying for and accepting formal credit;Seed;T/F;{{Cost of credit}} includes interest, an initiation fee, service fees and (possibly) insurance.;TRUE;FALSE;;;Cost of credit includes interest, an initiation fee, service fees and (possibly) insurance, which you need to pay back in addition to the amount you borrowed.;4
Applying for and accepting formal credit;Retention;MC-AOTA;{{Cost of credit}} includes ___________;All of the above;Interest;Fees;Insurance (if required);Cost of credit includes interest, an initiation fee, service fees and (possibly) insurance, which you need to pay back in addition to the amount you borrowed.;12
Applying for and accepting formal credit;Retention;T/F;{{Cost of credit}} means the interest, fees etc. that you need to pay back in addition to the amount you borrowed.;TRUE;FALSE;;;Cost of credit includes interest, an initiation fee, service fees and (possibly) insurance, which you need to pay back in addition to the amount you borrowed.;11
Applying for and accepting formal credit;Application;MC;The _________ is the interest, fees, insurance etc. that you need to pay back in addition to the amount you borrowed.;Cost of credit;Creditor's fee;Initiation fee;Credit tax;Cost of credit includes interest, an initiation fee, service fees and (possibly) insurance, which you need to pay back in addition to the amount you borrowed.;18
Applying for and accepting formal credit;Seed;MC;In addition to interest, credit providers are allowed to charge an initiation fee and __________;Monthly service fees;Monthly creditor's fee;National Credit Act fee;Annual arrear fees;The National Credit Act allows credit providers to charge a once-off initiation fee and monthly service fees.;4
Applying for and accepting formal credit;Retention;MC;In addition to interest, credit providers are allowed to charge monthly service fees and __________;A once-off initiation fee;A debt premium;A Debt Association fee;An annual arrear fee;The National Credit Act allows credit providers to charge a once-off initiation fee and monthly service fees.;9
Applying for and accepting formal credit;Retention;MC;What fees are credit providers allowed to charge, in addition to interest on a loan?;Initiation fee and monthly service fees;Initiation fee and cost of credit;Creditor's fee and service fees;Monthly service fees and debt fee;The National Credit Act allows credit providers to charge a once-off initiation fee and monthly service fees.;11
Applying for and accepting formal credit;Application;T/F;You should complain if you are charged a monthly service fee by your credit provider.;FALSE;TRUE;;;The National Credit Act allows credit providers to charge a once-off initiation fee and monthly service fees.;17
Applying for and accepting formal credit;Application;T/F;If a credit provider charges you an initiation fee it's a scam.;FALSE;TRUE;;;The National Credit Act allows credit providers to charge a once-off initiation fee and monthly service fees.;17
Applying for and accepting formal credit;Seed;MC;What happens if your credit application is approved?;You have the option to take up the credit;You are in a finance agreement;You need to hand over your ID book;You get a bank cheque to buy the item;If your credit application is approved you still have the choice to take up the credit or not - you are not automatically in a credit agreement as soon as you get approval.;2
Applying for and accepting formal credit;Retention;MC;If your credit application is approved you _________;Can choose whether to take up the credit;Are expected to take up the credit;Have accepted the contract;Need to make your first payment;If your credit application is approved you still have the choice to take up the credit or not - you are not automatically in a credit agreement as soon as you get approval.;9
Applying for and accepting formal credit;Application;T/F;A credit approval is the same thing as a credit agreement.;FALSE;TRUE;;;If your credit application is approved you still have the choice of whether or not to sign the credit agreement.;16
Applying for and accepting formal credit;Seed;T/F;If a credit provider declines your application they can choose whether or not to give the reason.;FALSE;TRUE;;;According to the National Credit Act, you have the right to request that the credit provider give you the reason for declining your credit application.;2
Applying for and accepting formal credit;Retention;MC;If your credit application is declined, the credit provider ________;Must provide a reason why it's declined;Can choose to provide a reason why it's declined;Can ask for a cancellation fee;Can blacklist you;According to the National Credit Act, you have the right to request that the credit provider give you the reason for declining your credit application.;9
Applying for and accepting formal credit;Application;T/F;If your credit application is declined you might not find out why.;FALSE;TRUE;;;According to the National Credit Act, you have the right to request that the credit provider give you the reason for declining your credit application.;16
Applying for and accepting formal credit;Seed;MC;What is a {{credit agreement}}?;A contract where you agree to pay what you owe;An invoice for the item you want;A payment arrangement;A credit application;A credit agreement is a legally binding contract that requires you to pay back what you have borrowed plus the agreed interest and other fees, in the required time period.;2
Applying for and accepting formal credit;Retention;T/F;A {{credit agreement}} is an arrangement to make up your missed payments.;FALSE;TRUE;;;A credit agreement is a legally binding contract that requires you to pay back what you have borrowed plus the agreed interest and other fees, in the required time period.;9
Applying for and accepting formal credit;Retention;MC;A {{credit agreement}} is a contract where you agree to ____________;Pay what you owe in the required time;Pay some of what you owe in the required time;Pay as much as you can when you're able;Pay what you owe in your own time;A legal contract to pay back your debt is called a credit agreement. It requires you to pay back what you have borrowed plus the agreed interest and other fees, in the required time period.;10
Applying for and accepting formal credit;Application;MC;A legal contract where you agree to pay back your debt is called a ______________;Credit agreement;Credit arrangement;Schedule of benefits;Policy document;A legal contract to pay back your debt is called a credit agreement. It requires you to pay back what you have borrowed plus the agreed interest and other fees, in the required time period.;16
Applying for and accepting formal credit;Seed;MC;When should you read through your credit agreement terms and conditions?;Before you sign anything;As soon as you've finished signing it;If you get into trouble;When you catch up on other paperwork;Your credit agreement is a legally binding document so it's vital that you understand and agree to everything in the contract before you sign.;2
Applying for and accepting formal credit;Retention;MC;You need to read through your credit agreement terms and conditions ___________;Before you sign it;Straight after signing it;If something goes wrong;Before you make your last payment;Your credit agreement is a legally binding document so it's vital that you understand and agree to everything in the contract before you sign.;9
Applying for and accepting formal credit;Application;T/F;It's safe to sign your credit agreement before reading the terms and conditions if it's a registered credit provider.;FALSE;TRUE;;;Your credit agreement is a legally binding document so it's vital that you understand and agree to everything in the contract before you sign.;16
Instalment agreement terminology;Seed;MC;What are {{instalments}}?;Regular payments until the debt is paid;The cost of the item you bought on credit;The amount of interest you pay;Another word for a deposit;An instalment is an amount of money to be paid at regular times over a specified period, and it includes interest and monthly admin fees.;2
Instalment agreement terminology;Retention;MC;Your {{instalments}} are ___________;Regular payments until the debt is paid;The total you bought on credit plus interest;The total you still need to pay;The bank fees due each month;An instalment is an amount of money to be paid at regular times over a specified period, and it includes interest and monthly admin fees.;9
Instalment agreement terminology;Application;T/F;Your {{instalment}} doesn't include {{interest}} and {{fees}} - they need to be paid separately.;FALSE;TRUE;;;The instalment amount includes interest and monthly admin fees.;16
Instalment agreement terminology;Seed;T/F;The {{prime lending rate}} is the guideline rate set by the SA Reserve Bank for banks to lend to people.;TRUE;FALSE;;;The guideline rate set by the South African Reserve Bank for banks to lend to people is the prime lending rate. ;3
Instalment agreement terminology;Retention;MC;The guideline rate set by the SA Reserve Bank for banks to lend to people is the ________ ;The prime lending rate;The repo rate;The Reserve Bank rate;The inflation rate;The prime lending rate is the benchmark rate set by the South African Reserve Bank for banks to lend to people.;10
Instalment agreement terminology;Application;T/F;The benchmark rate set by the South African Reserve Bank for banks to lend to people is called the {{repo rate}}.;FALSE;TRUE;;;The prime lending rate is the benchmark rate set by the South African Reserve Bank for banks to lend to people.;16
Instalment agreement terminology;Seed;MC;The two types of interest rates for credit agreements are {{fixed}} and _________;Linked / variable interest rates;Flat rates;Straight interest rates;Unfixed interest rates;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;3
Instalment agreement terminology;Retention;MC;What are the two types of interest rates for credit agreements?;Fixed and linked / variable interest rates;Fixed and flat rates;Fixed and straight interest rates;Fixed and unfixed interest rates;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;10
Instalment agreement terminology;Application;T/F;The two interest rate types for credit agreements are {{fixed}} and {{variable}} interest rates.;TRUE;FALSE;;;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;16
Instalment agreement terminology;Application;T/F;The two interest rate types for credit agreements are {{fixed}} and {{linked}} interest rates.;TRUE;FALSE;;;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;16
Instalment agreement terminology;Seed;MC;The two types of interest rates for credit agreements are {{linked}} / {{variable}} and ________;Fixed interest rates;Unlinked interest rates;Prime interest rates;Arrear interest rates;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;3
Instalment agreement terminology;Retention;MC;The two types of interest rates for credit agreements are {{linked}} and ________;Fixed interest rates;Unlinked interest rates;Variable interest rates;Inflated interest rates;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;10
Instalment agreement terminology;Retention;MC;The two types of interest rates for credit agreements are {{variable}} and ________;Fixed interest rates;Permanent interest rates;Linked interest rates;Arrear interest rates;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;10
Instalment agreement terminology;Retention;MC;The two types of interest rates for credit agreements are ___________;Variable / linked and fixed interest rates;Linked and variable interest rates;Linked / variable and inflated rates;Linked and arrear interest rates;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;11
Instalment agreement terminology;Application;T/F;The two types of interest rates for credit agreements are {{linked}} and {{variable}}.;FALSE;TRUE;;;The two interest rate types for credit agreements are fixed and variable / linked interest rates.;16
