Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Types of credit agreement;Seed;MC-F;Which of these is a registered credit provider?;A bank;A rich friend;A mashonisa;All of the above;Most regulated credit products are offered by banks, finance houses and stores. They require you to formally apply for credit. They then assess you and either grant or decline your application.;5
Types of credit agreement;Retention;T/F;Anyone who starts a lending business is a registered credit provider.;FALSE;TRUE;;;Anyone wanting to be a registered credit provider has to apply for registration with the National Credit Regulator and meet strict criteria in line with the law.;9
Types of credit agreement;Application;T/F;Registered credit providers have to follow strict lending rules.;TRUE;FALSE;;;Regulated credit is offered by registered credit providers such as banks, and taken up according to the rules and laws implemented by the National Credit Regulator (NCR).;16
Types of credit agreement;Seed;MC;Which of these would you associate with regulated credit?;Strict lending rules;Relaxed lending rules;No lending rules;Intimidation;Formal/registered credit providers require you to formally apply for credit in order to work out your creditworthiness and affordability. In other words, they assess your ability to pay them back.;6
Types of credit agreement;Retention;MC;Before giving you credit, what do registered credit providers do?;Check that you can afford it;Check your family history;Perform blood tests;Initiate you;Formal/registered credit providers require you to formally apply for credit in order to work out your creditworthiness and affordability. In other words, they assess your ability to pay them back.;8
Types of credit agreement;Retention;MC;Registered credit providers have an application process because ________;Responsible lenders;Annoying lenders;Unfair lenders;Illegal lenders;Credit applications are good for both parties. They protect you as the borrower from getting into too much debt (becoming over-indebted) while reducing risk for the credit provider.;9
Types of credit agreement;Retention;MC-AOTA;Before you can have a formal credit application approved, you need ________;All of the above;Adequate credit record;To be in the country legally;Affordability;To have a credit application approved, you must at least be in South Africa legally, be able to afford the credit payments, and have a adequate credit record (history of paying your debts).;11
Types of credit agreement;Application;T/F;Registered credit providers require a strict application process because they don't want to give you money.;FALSE;TRUE;;;Credit applications can protect credit providers from losing the money they lend, but they're also designed to protect you from getting into too much debt (becoming over-indebted).;16
Types of credit agreement;Application;T/F;Formal credit always takes longer to get than informal credit.;FALSE;TRUE;;;As technology improves, credit application process-times are getting shorter and shorter.;19
Types of credit agreement;Seed;MC;Which of these would be a contract between you and a credit provider?;A credit agreement;Credit letter;Credit note;Debt agreement;A credit agreement is legally binding and often involves a contract of some kind, where you agree to pay back what you owe, according to the terms of the agreement.;5
Types of credit agreement;Retention;MC-AOTA;Which of these is a type of credit agreement?;All of the above;An instalment sale;A credit facility;A home loan;Credit facilities (like credit cards and store cards/accounts), instalment sales (like vehicle finance) and home loans are all different types of credit agreements.;10
Types of credit agreement;Retention;MC-AOTA;Which of these is a type of credit agreement?;All of the above;A personal loan;A secured loan;A pawn transaction;Personal loans, secured loans (where security is involved) and pawn transactions (where the lender holds your possession until you've paid them back) are all different types of credit agreements.;11
Types of credit agreement;Application;T/F;If you sign a credit agreement, you have a legal obligation to pay the total cost of credit. ;TRUE;FALSE;;;When you sign a credit agreement, you become legally liable for the total cost of credit involved - that means the money/value borrowed, plus interest, pus any other applicable fees.;16
Types of credit agreement;Application;MC;Which of these is an example of a regulated credit agreement?;A clothing store account;A lay-by;Loan from a friend;A mashonisa loan;When you open an account at a reputable clothing store, you're entering into a formal credit agreement. You'll eventually be charged for the things you buy in the form of minimum payments.;17
Types of credit agreement;Application;MC;Which of these does not involve a credit agreement?;Renting a room;Using a credit card;Applying for finance;Getting a loan;Renting a room is not considered credit because at the end of the agreement (lease agreement), you don't own the room. It always remains property of the owner.;17
Types of credit agreement;Seed;MC;An account that you can continuously borrow money from is a __________;Revolving credit facility;Instalment sale;Mortgage;Savings account;A revolving credit facility allows you to keep taking from it, up to a maximum limit. Credit cards and store accounts are revolving credit facilities.;6
Types of credit agreement;Retention;MC;Credit that you can keep using up to a maximum limit is_______;Revolving credit;Circling credit;Swirling credit;Taxable credit;Revolving credit is credit that you can use over and over again up to a maximum limit, while making sure you make the minimum required payments.;8
Types of credit agreement;Retention;MC;Which of these is a revolving credit facility?;A credit card;Vehicle finance;A personal loan;A pawn transaction;"The credit that you get with a credit card ""revolves"" in that you use it, and then pay it back, and then use it again. This continues until you pay everything off and close the account.";9
Types of credit agreement;Retention;MC;Which of these is a revolving credit facility?;A clothing store account;Vehicle finance;A personal loan;A pawn transaction;"The credit that you get with a clothing account ""revolves"" in that you use it, and then pay it back, and then use it again. This continues until you pay everything off and close the account.";11
Types of credit agreement;Retention;MC;The amount that you owe on a revolving credit account is the_______;Outstanding balance;Excellent balance;Paid balance;Minimum payment;The amount owing on a credit facility is the outstanding balance. If you owe R100 on a credit card and then pay R50, your {{outstanding balance}} will be R50 plus interest and fees.;10
Types of credit agreement;Retention;MC;What is the maximum amount you can owe on a credit facility called?;Credit limit;Credit ceiling;Max credit;Minimum credit;Revolving credit facilities have maximum limits - if an item cost R12000 and your available credit limit was R10000, you wouldn't be able to buy the item in full using that credit facility.;12
Types of credit agreement;Retention;MC;What type of credit agreement are store accounts and credit cards? ;Revolving credit;Turning credit;Back-and-forth credit;Endless credit;A revolving credit facility allows you to keep taking from it, up to a maximum limit. Credit cards and store accounts are revolving credit facilities.;13
Types of credit agreement;Retention;MC;How long does a revolving credit account last?;Until you close it;6 months;2 years;72 months;There's no predefined end to a revolving credit facility. As long as you keep making the minimum payments back into it, the facility will stay open. You must pay it off completely before closing it.;13
Types of credit agreement;Application;Y/N;Depending on the facility, is it possible to avoid paying interest when using revolving credit?;Yes;No;;;You can avoid paying interest with certain revolving credit facilities, provided that you pay your outstanding balance within a certain amount of time.;16
Types of credit agreement;Application;T/F;Revolving credit is commonly used when shopping for things like clothes and appliances.;TRUE;FALSE;;;Typically, revolving credit is for the retail space. It isn't typically used for big purchases like cars and homes, because 1) it can be expensive and 2) the credit limits often aren't enough.;17
