Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Income and expenditure;Seed;MC;In its simplest terms, what is {{income}}? ;The money you receive;The money you spend ;The amount of tax you pay;The people who visit your house;Your income refers to the amount of money you receive on a regular basis. Income is usually {{earned}} (through working or selling), but gifts, donations and prize winnings also count as income.;4
Income and expenditure;Retention;MC;The overall term for money that you receive is _________;Income;Expenditure;Tax;Fines;Your income refers to the amount of money you receive on a regular basis. Income is usually {{earned}} (through working or selling), but gifts, donations and prize winnings also count as income.;7
Income and expenditure;Retention;MC;In day to day finance, what are your {{earnings}}? ;The income you earn from working;All income including gifts and donations;Prize money;Tax money;Earnings form the bulk of most people's income. That's because earnings refer to salaries, wages and profits, excluding other types of income such as prize winnings and donations;7
Income and expenditure;Retention;MC;The money you get from your job is known as your __________;Earnings;Expenses;Tax returns;Donations;Quite simply, your {{earnings}} are how much money you earn from working, selling or investing. Most people's earnings come from the job they do on a day-to-day basis.;8
Income and expenditure;Retention;MC;What is the {{total amount of money you receive each month}} called?;Monthly income;Monthly tax;Monthly winnings;Monthly expenses;Your monthly income is the total amount of money you receive each month. For some people, their entire monthly income comes from their job. Others have multiple sources of income.;9
Income and expenditure;Retention;Y/N;Is having a job the only way to receive income?;No;Yes;;;The different ways a person or business can earn or receive money include: salaries and wages, interest received, sales and donations.;10
Income and expenditure;Retention;T/F;Having your own business can be a good way to earn an income.;TRUE;FALSE;;;Not everyone can work for someone else. The profit you can potentially earn from your own business can be a great source of income. ;11
Income and expenditure;Retention;MC;The different ways you can receive money are called _________;Sources of income;Sources of tax;Deductions;Expenses;Sources of income include salaries and wages (working for someone else), commission, sales, donations and returns on investments. Pensions are the main source of income for retired people.;12
Income and expenditure;Retention;MC;What does {{household income}} mean?;Combined income of people living together;A house's increase in value;How much a house is worth;Money earned from house music;Household income simply refers to the combined incomes of all the people in one home added together. Not everyone in a household always contributes to household income.;13
Income and expenditure;Application;Y/N;Can a person have more than one source of income?;Yes;No;;;You can have as many sources of income as you're able to acquire, as long as you follow the law and pay income tax when and where required.;13
Income and expenditure;Application;MC-AOTA;Which of these are sources of income?;All of the above;Pension;Commission;Salary;Salaries, pensions and returns on investments all represent ways that a person can receive money. Therefore, each of them is a different source of income.;17
Income and expenditure;Application;Y/N;Is child support a source of income?;Yes;No;;;Child support (also known as child maintenance) is a type of income paid by one parent/guardian of a child to the other parent/guardian, and is considered a source of income.;18
