Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Applying for and accepting vehicle finance;Seed;MC-AOTA;What are some of the documents you need when applying for vehicle finance?;All of the above;Proof of residence;3 months’ payslips or bank statements;ID book / card & driving licence;You need proof of identity, residential address, income and permission from your spouse (if married in community of property) as well as a driving licence for vehicle finance.;2
Applying for and accepting vehicle finance;Retention;MC-AOTA;Which of these documents do you need when applying for vehicle finance?;All of the above;Permission from spouse (if married in COP);Proof of residence and income;ID book / card & driving licence;You need proof of identity, residential address, income and permission from your spouse (if married in community of property) as well as a driving licence for vehicle finance.;9
Applying for and accepting vehicle finance;Application;MC-F;Which of these documents DON'T you need when applying for vehicle finance?;Matric certificate;Driving licence;Proof of residence;All of the above;You don't need a matric certificate to apply for vehicle finance but you do need proof of residence and a driving licence.;16
Applying for and accepting vehicle finance;Seed;T/F;A person who is {{married in community of property}} needs written permission from their spouse to apply for finance.;TRUE;FALSE;;;If you're married in community of property, you need written permission from your spouse to enter into a vehicle finance agreement.;3
Applying for and accepting vehicle finance;Retention;MC;You need written permission from your spouse to get car finance if you're married _________;In community of property;Out of community of property;And you have children;Without accrual;People who are married in community of property need written permission from their spouse to enter into a vehicle finance contract.;10
Applying for and accepting vehicle finance;Application;T/F;You only need your spouse's permission to get vehicle finance if the car costs more than R500,000.;FALSE;TRUE;;;People who are married in community of property always need written permission from their spouse to enter into a vehicle finance contract, whatever the value.;17
Applying for and accepting vehicle finance;Seed;MC;What happens if your vehicle finance application is approved?;You have the option of taking up the finance;It's the same as signing a contract;You can go and fetch your car;You need to pay your deposit immediately;If your finance application is approved you have the option of whether or not to take up the finance - you are not in a finance agreement until you sign your contract.;2
Applying for and accepting vehicle finance;Retention;T/F;If your finance application is approved you are expected to sign the contract and buy the car.;FALSE;TRUE;;;If your finance application is approved you have the option of whether or not to take up the finance - you are not in a finance agreement until you sign your contract.;9
Applying for and accepting vehicle finance;Application;T/F;Getting your finance approved is the same thing as signing a vehicle finance agreement.;FALSE;TRUE;;;If your finance application is approved you have the option of whether or not to take up the finance - you are not in a finance agreement until you sign your contract.;16
Applying for and accepting vehicle finance;Seed;MC;If your vehicle finance application isn't approved, the credit provider ________;Must provide a reason why it's declined;Doesn't need to tell you why not;Will not allow you to apply in the future;Will refer to you a debt advisor;According to the National Credit Act, you have the right to request that the credit provider give you the reason for declining your credit application.;2
Applying for and accepting vehicle finance;Retention;T/F;If your vehicle finance application is declined you need to apply to National Credit Regulator to find out why.;FALSE;TRUE;;;According to the National Credit Act, you have the right to request that the credit provider give you the reason for declining your credit application.;9
Applying for and accepting vehicle finance;Application;T/F;You'll know your vehicle finance application was declined if you don't hear anything from the credit provider.;FALSE;TRUE;;;According to the National Credit Act, you have the right to request that the credit provider give you the reason for declining your credit application.;16
Applying for and accepting vehicle finance;Seed;T/F;In addition to your monthly car instalments, you also need to budget for expenses like fuel, insurance and servicing.;TRUE;FALSE;;;A car costs more than just the monthly finance payments - you also need to budget for the cost of keeping it running.;3
Applying for and accepting vehicle finance;Retention;MC-AOTA;In addition to your monthly car instalments, what do you need to budget for?;All of the above;Fuel;Insurance;Maintenance;A car costs more than just the monthly finance payments - you also need to budget for the cost of keeping it running.;10
Applying for and accepting vehicle finance;Application;T/F;If you're planning to get a car, the only thing you need to budget for is the monthly finance instalments.;FALSE;TRUE;;;A car costs more than just the monthly finance payments - you also need to budget for the cost of keeping it running, e.g. fuel, insurance, servicing etc.;17
Applying for and accepting vehicle finance;Seed;MC-AOTA;If you are buying a second-hand car, it's very important to check for ____________;All of the above;Full service history;If it's been in an accident;Roadworthy;According to the Consumer Protection Act, the seller needs to tell you about any defects but you also have a responsibility to check everything carefully yourself.;3
Applying for and accepting vehicle finance;Retention;T/F;If a second-hand car has a full service history it will show that the vehicle has been properly maintained.;TRUE;FALSE;;;According to the Consumer Protection Act, the seller needs to tell you about any defects but you also have a responsibility to check everything carefully yourself.;10
Applying for and accepting vehicle finance;Application;T/F;When buying a second-hand car, it's your responsibility to get the car checked thoroughly.;TRUE;FALSE;;;According to the Consumer Protection Act, the seller needs to tell you about any defects but you also have a responsibility to check everything carefully yourself.;17
Applying for and accepting vehicle finance;Seed;T/F;Before signing a vehicle finance contract you need to understand the terms and conditions properly.;TRUE;FALSE;;;Your vehicle finance agreement is a legally binding document so it's vital that you understand and agree to everything in the contract before you sign.;2
Applying for and accepting vehicle finance;Retention;MC-AOTA;Before signing a vehicle finance contract, what do you need to make sure you understand?;All of the above;If there's a balloon payment due;If your interest rate will change;When your payments are due and how much;Your vehicle finance agreement is a legally binding document so it's vital that you understand and agree to everything in the contract before you sign.;9
Applying for and accepting vehicle finance;Application;T/F;You don't need to worry about whether you have a balloon payment until the end of your vehicle finance contract.;FALSE;TRUE;;;You need to be sure about whether or not you have a balloon payment before you sign your vehicle finance contract so that it doesn't come as a shock at the end of your agreement.;16
Vehicle finance agreement terminology;Seed;MC;What is your vehicle finance {{instalment}}?;The amount you need to pay each month;The price of the car;The amount of interest you pay;Another word for a deposit;The instalment is the payment you need to make each month for your car, and it includes interest and monthly service fees.;2
