Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Credit as a concept;Seed;MC-AOTA;Ezimalini, kuyini isikweletu?;Zonke ezibaliwe;Imali ongakabi nayo;Imali ongayiboleka;Imali omele ukuyikhokha ngokuhamba kwesikhathi;Isikweletu imali ongayiboleka njenge {loan}, noma isikweletu sento ongekwazi ukuyikhokhela ngo {cash} njengendlu, okwazi ukuyibuyisela ngokuhamba kwesikhathi (ehamba nenzalo ngenjwayelo);6
Credit as a concept;Retention;MC;Kuyini igama lemali ongayiboleka?;Isikweletu ({Credit});Isikweletu ({Debt});Iholo;Izindleko;Isikweletu imali ongayiboleka njenge {loan}, noma isikweletu sento ongekwazi ukuyikhokhela ngo {cash} njenge moto, okwazi ukuyibuyisela ngokuhamba kwesikhathi (ehamba nenzalo ngenjwayelo);8
Credit as a concept;Retention;MC;Imali ongakhetha ukuyiboleka uma uyidinga ibizwa ngani? ;Isikweletu ({Credit});Intela;Isikweletu ({Debt});Iholo;Isikweletu ({credit}) imali ongakhetha ukuyiboleka uma ukwazi ukuyibuyisela ngesikhathi esishiwo esivumelwaneni. Uma usuyibolekile leyo mali, iba yisikweletu ({debt});9
Credit as a concept;Retention;MC;Yini igama lomuntu noma ibhizinisi la ongathola khona isikweletu ({credit})?;Umkweletisi;Umboleki;Umniki ntela;i{Accountant};Ngokwenjwayelo, umuntu okunika isikweletu ({credit}) umukweletisi. Umkweletisi engaba {formal} noma ebe {informal}, o{formal} usuke erejistiwe futhi ubizwa nge {{registered credit provider}};10
Credit as a concept;Retention;MC;Iziphi kwezibaliwe ekuyigama eli {formal} lom'kweletisi?;{Credit provider};{Income provider};{Expense provider};{Money provider};Abakweletisi banikana isikweletu ({credit}) esingaba yi {loan} noma inani elithile ongathenga ngalo (kanjenge {account} esitolo sezimpahla). Phecelezi, mkweletisi ubizwa nge {{credit provider}};13
Credit as a concept;Application;T/F;Isikweletu ({credit}) imali ongayiboleka uma ufuna;Iqiniso;Amanga;;;Isikweletu imali ongayiboleka ukuthenga into. Lemali ingaba ngukheshi, noma izoba yisikweletu sento ongakhoni ukuyikhokhela ngokheshi manje manje njenge moto;15
Credit as a concept;Application;T/F;Abakweletisi abantu namabhizinisi ongathola isikweletu ({credit}) kubona;Iqiniso;Amanga;;;Abakweletisi banika abantu izikweletu ({credit}) eziyimali kanjenge {loan} kanye neziyinani ongathenga ngalo izinto esikweletini. Igama elisemthethweni lomkweletisi yi {{credit provider}} phecelezi;16
Credit as a concept;Application;Y/N;Ingabe i{{credit provider}} igama eli {formal} lokubiza umkweletisi?;Yebo;Cha;;;Ama {credit provider} amabhizinisi anika imali esikweletini ({credit}) nama amasevisi kanjengama {credit card} nama {overdraft};16
Credit as a concept;Application;Y/N;Ingabe i{{cash loan}} uhlobo lwesikweletu na?;Yebo;Cha;;;Ziningi izinhlobo zezikweletu ({credit}) kanjengama {credit card}, isikweletu sokuthenga imoto ({vehicle finance}), ama {loan} okukhokhela indlu nezikweletu ezemali phecelezi {cash loan};18
Credit as a concept;Application;MC;Yini kulezi ezijwayele ukuthengwa esikweletini?;Ifenisha;Isinkwa;Upolishi wezinzipho ({nail polish});u{Cold drink};Abantu abaningi bathenga izindlu ngesikweletu se {home loan} ngoba abanayo imali eyanele yokukhokhela indlu manje manje. Kungathatha iminyaka engu 20 ukukhokha sonke isikweletu sendlu;19
