Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Contract basics;Seed;MC;Iyini i{contract}?;Isivumelwano esibophayo phakathi kwabantu ababili ;Isivumelwano nomuntu oyedwa;i{Slip} sasesitolo;i{Credit} ekhethekile ;i{Contract} isivumelwano somthetho phakathi kwabantu ababili noma abaningi, izinkampani noma izinhlangano;4
Contract basics;Retention;MC;Kusho ukuthini ukubopha ngomthetho? ;Imiphumela yomthetho uma ungalandeli;Uma okuthize akukho emthethweni;Uma okuthize akukwazi ukuqiniswa umthetho ;Uma okuthize akukho emthethweni;Uma isivumelwano singesomthetho, uma usiphula isivumelwano uzobhekana nemiphumela yomthetho;9
Contract basics;Retention;MC;Ngokwe nkontilaka, isho ini i{party}?;Isayidi elingena esivumelwaneni se {contract};Ukuhlangana kwabantu;Inhlangano ye politiki;Umcimbi;Kuma {contract} amaningi nezivumelwano zomthetho, i{party} isho amasayidi ahlukile esivumelwaneni. Uma u{sign}a isivumelwano, wena ungenye yama {party} e {contract};12
Contract basics;Retention;MC;Kwenzekani uma ungalandeli imigomo nemibandela ye {contract}?;Uweqe i{contract};Angeke ubhekane nenhlawulo ;Angeke kube khona imiphumela;Ungacela enye i{contract};Uma ungalandeli imigomo nemibandela ye {contract} bese ungahloniphi isivumelwano, kuthathwa njengokuphula isivumelwano se {contract}. Uma wenza lokho, ungabhekana nemiphumela enzima;10
Contract basics;Retention;MC;Kungenzekani uma weqa i{contract}?;Ungabhekana nemiphumela enzima;Angeke ubhekane nezinhlawulo;Ungacela enye i{contract};Akwenzeki lutho;Uma weqa i{contract} yakho, abanye abantu (noma izinhlangano) abasayine i{contract} nawe bangacela isinxephezelo, njenge mali;10
Contract basics;Application;T/F;"Uma ungena kuy i{contract}, uwomunye ""wama {parties}"" kuleso sivumelwano.";Iqiniso;Amanga;;;Kuma {contract} amaningi/noma izivumelwano zomthetho, ama {parties} kusho izinhlangothi ezihlukile ze {contract}. Uma u{sign}a i{contract}, uwomunye wama {parties} kuleyo nkontilaka;17
Contract basics;Application;MC;Ngaphambili kokungena kuy i{contract}, kufanele wenzeni?;Funda uzwisise kahle i{contract};Ungalaleli i{contract};Ungahloniphi isivumelwano;Unganaki i{contract} nesivumelwano;Qiniseka ufunda uzwisise kahle i{contract}. Lokhu kuzokusiza ukuzwisisa ofanele ukwenze ukuze kube nethuba elincani lokweqa i{contract} yakho;15
Contract basics;Seed;MC;Ama {contract} zingakwazi ukuthi:;Zibengamazwi noma zibhalwe;Amazwi kuphela;Zibhalwe kuphela;Zikhulunyiwe kuphela;Ama {contract} angaba yimibhalokanye namazwi. i{Contract} yamazwi yisivumelwano esikhulunywayo phakathi kwabantu ababili noma abaningi. Ama {contract} abhaliwe alula ukuqiniswa kunakhulunywayo;5
Contract basics;Retention;MC;Iyini i{contract} yamazwi?;Isivumelwano esikhulinyiwe phakathi kwabantu ababili noma abaningi;Isivumelwano esibhaliwe;Iphepha elincani elisayidiwe;Inkontikala esayindiwe;i{Contract} yamazwi isivumelwano esokhulunywayo phakathi kwabantu ababili noma abaningi. Ama {contract} zamazwi zibonakala zingahlelekanga kunalezo ezibhaliwe;8
Contract basics;Retention;T/F;Kufanele ama {contract} zibhalwe njalo.;Amanga;Iqiniso;;;Akufanele ama {contract} abhalwe njalo. Ngezinye izikhathi ama {contract} enziwa ngamazwi, kodwa abhaliwe akuvikela kakhulu, ikakhulukazi ngokomthetho;8
