Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Types of credit agreement;Retention;MC-F;Iyiphi kwezibaliwe ekungumkweletisi ohlelekile ({formal credit provider})?;i{Bank};Umngani onemali eningi;Umashonisa;Zonke ezibaliwe;Abakweletisi abahlelekile - kanjengama {bank}, izikhungo zezikweletu, kanye nezitolo - banikana izikweletu ezidinga ukuthi u aplaye ngokubheka ukuthi ungakhona yini ukukhokha;5
Types of credit agreement;Application;T/F;Noma ngubani oqala ibhizinisi lokukweletisa uba ngumkweletisi osemthethweni?;Amanga;Iqiniso;;;Ngokomthetho, abakweletisi badinga uku aplayela ukurejista kuyi {National Credit Regulator} ({NCR}) futhi belandele izinqumo eziqinile zomthetho;9
Types of credit agreement;Application;T/F;Abakweletisi abahlelekile kumele belandele imithetho yokukweletisa eqinile;Iqiniso;Amanga;;;Isikweletu esihlelekile isikweletu onikwa sona yi {registered credit provider} njenge bhange, ehlelwa ngemithetho ehambiselana ne {National Credit Regulator} ({NCR});16
Types of credit agreement;Seed;MC;Iyiphi kulezi ehlobene nokukweletisa okuhlelekile?;Imithetho yokukweletisa eqinile;Imithetho yokukweletisa ethambhile;Ukungabibikho kwomthetho;Ukusabisa;Izikweletu ezihlelekile zidinga ukuthi u aplaye ngokuhleliwe, kubhekwe ukuthi ungakhona yini ukuzikhokhela, bese uyanikwa noma cha leso siskweletu ngokukhona kwakho ukusikhokhela;6
Types of credit agreement;Retention;MC;Ungakasitholi isikweletu, kumele abakweletisi abahlelekile benze ini?;Bebheke ukuthi uyakhona yini ukukhokha;Bebheke umlando womndeni;Benze ukuhlolwa kwegazi;Bengakungenisa ndlela thize;Abakweletisi abahlelekile bakudinga ukuthi u aplayele isikweletu kuze bezobona ukukweletiseleka kwakho. Ngamanye amazwi, ukuthi ungakhona yini ukukhokha;8
Types of credit agreement;Retention;MC;Abakweletisi abahlelekile bakwenza u aplaye ukuthola isikweletu kwenze njani?;Bangababolekisi abanendaba ({responsible lender});Babanga isicefe;Abalungile;Baboleka ngokungemthetho;Uku aplayela isikweletu kulungele umkweletisi nomuboleki ngoba bavikela wena oboleka imali ukuthi ungashaywa yizikwetu kanye nomkweletisi ukuthi i{risk} yomkweletisi ibe ncane;9
Types of credit agreement;Retention;MC-AOTA;Ngemuva kokuthola isikweletu uma u aplayile ngokomthetho, udinga ini?;Zonke ezibaliwe;Igama lokukweletisa elihle;Ukuba sezweni ngokomthetho;Ukukhona ukukhokhela isikweletu;Kuze uthole isikweletu osi aplayele, kumele ube se {South Africa} ngokomthetho, kumele ukhone ukukhokhela isikweletu futhi ube negama elihle ekukweleteni imali;11
Types of credit agreement;Application;T/F;Abakweletisi abasebenza ngokomthetho benza u aplayele isikweletu ngoba abafuni ukukunikeza imali;Amanga;Iqiniso;;;Uku aplayela isikweletu kuvikela abakweletisi ekulahlekelweni imali abayibolekisayo, kanti futhi kuvikela okweletayo ukuthi engabi nezikweletu ezingakhonakali (ungabi {over-indebted});16
Types of credit agreement;Application;T/F;Isikweletu esihlelekile sithatha isikhathi eside kunesikweletu esingahlelekile;Amanga;Iqiniso;;;Ngokuthuthuka kobuchwepheshe, ukukweleta imali kuya ngokuya kuyashesha. Uma unikwa isikweletu, uyakhona ukusithatha ngalowo mzuzu;19
Types of credit agreement;Seed;MC;Iyiphi kwezibaliwe ekuyisivumelwano somthetho phakathi kwakho nomkweletisi?;Isivumelwano sesikweletu esihlelekile;Incwadi yesikweletu;Incwadi yemali yesikweletu;Isivumelwano semali ezayo;Isivumelwano esihlelekile isivumelwano somthetho la enivumelana khona ngokombhalo, la ovuma khona ukukhokha imali oyikweletayo ngemigomo yomkweletisi;5
Types of credit agreement;Retention;MC-AOTA;Iyiphi kwezibaliwe eyisivumelwano sesikweletu?;Zonke ezibaliwe;i{Instalment} (istolmende);Isikweletu;Isikweletu sendlu;Izindawo zokukweletisa (ama {credit card}, izitolo nama {account}), ukuthengiswa kwezimoto ngesikweletu, kanye nokuthenga indlu ngebhange noma nge {home loan} izinhlobo ezahlukile zesivumelwano sesikweletu;10
Types of credit agreement;Retention;MC-AOTA;Iyiphi kwezibaliwe eyisivumelwano sesikweletu esihlelekile?;Zonke ezibaliwe;i{Personal loan};i{Loan} e {secure};Isikweletu esibamba utho ({pawn});i{Personal loan}, ukuthenga indlu ngebhange noma nge {home loan} noma la obambisa khona isikweletu ngempahla yakho ({pawn transaction}) izinhlobo ezahlukile zezivumelwane zesikweletu;11
Types of credit agreement;Application;T/F;Uma u{sign}a isikweletu sesivumelwano, kumele ukhokhele ngokomthetho yonke imali yenani lesikweletu;Iqiniso;Amanga;;;Uma u{sign}a isivumelwano sesikweletu, umele ukusikhokhela sonke isikweletu ngokomthetho - okuyi mali oyibolekile nezinzalo zakhona nezimali zokuboleka;16
Types of credit agreement;Application;MC;Iyiphi kwezibaliwe ekuyisibonelo sesivumelwano sesikweletu esisemthethweni?;i{Account} esitolo sezimpahla;i{Lay-by};Imali obolekwe ngumngani;Imali evela kumashonisa;Uma uvula i{account} esitolo esithembhekile, ungena esivumelwaneni sesikweletu esihlelekile. Uzoshajelwa izinto ozithengile ngendlela yemali encane ongayikhokha ({minimum payment});17
Types of credit agreement;Application;MC;Iyiphi kwezibaliwe engathintani nesivumelwano sesikweletu?;Ukuqasha ikamelo;Ukusebenzisa i{credit card};Uku aplayela isikweletu;Ukuthola i{loan};Ukuqasha indawo yokuhlala akusiso isikweletu ngoba ekupheleni kokuhlala kwakho khona akubi ngeyakho indawo. Ihlala ingeyomnikazi wayo.;17
Types of credit agreement;Seed;MC;i{Account} ongalokhu uthatha kuyo imali ibizwa ngani?;Isikweletu esi {revolving} (esihlala sikhona);i{Instalment} (istolmende);Isikweletu sendlu;i{Account} yokubeka imali;i{Revolving credit} iyisikweletu la ongathatha uthathile esikweletini kuze kufike enanini elithile. Ama {credit card} nama {account} ezitolo ayi {revolving credit};6
Types of credit agreement;Retention;MC;Isikweletu ongalokhu uthatha kuso kuze kufike esibalweni esithile sibizwa ngani?;{Revolving credit};Isikweletu esingu {round};Isikweletu esixubile;Isikweletu esiza nentela;i{Revolving credit} iyisikweletu la ongathatha uthathile esikweletini kuze kufike enanini elithile ube ukhokha imali ekuyi {minimum};8
Types of credit agreement;Retention;MC;Iyiphi kulezi ekuyintengo ye {revolving credit}?;i{Credit card};Isikweletu semoto;i{Personal loan};Isikweletu esibanjelwe utho;Imali oyitholayo kuyi {credit card} ibizwa ngokuthi i{revolving} ngoba uyayiboleka uyikhokhe bese uyayiboleka futhi. Lokhu kwenzeka uze uqede noma uvale leso sikweletu;9
Types of credit agreement;Retention;MC;Iyiphi kulezi ekuyintengo ye {revolving credit}?;i{Account} esitolo sezimpahla;Isikweletu semoto;i{Personal loan};Isikweletu esibanjelwe utho;Imali oyitholayo kuyi {credit card} ibizwa ngokuthi i{revolving} ngoba uyayiboleka uyikhokhe bese uyayiboleka futhi. Lokhu kwenzeka uze uqede noma uvale leso sikweletu;11
