Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Income and expenditure;Seed;MC;Kuyini imali yeholo?;Imali oyiholayo;Imali othenga ngayo;Intela oyikhokhayo;Abantu abakuvakashelayo;Iholo yimali oyitholayo njalo. Ngenjwayelo, lemali uyithola ngokuyisebenzela (ngokudayisa noma ngomsebenzi omunye) kodwa izipho, ama{donation} kanye nemiklomelo ibala njenge holo.;4
Income and expenditure;Retention;MC;Imali oyitholayo njalo ngesikhathi esithile ibizwa ngani?;Iholo;Izindleko;Intela oyikhokhayo;Intlawulo;Iholo yimali oyitholayo njalo. Ngenjwayelo, lemali uyithola ngokuyisebenzela (ngokudayisa noma ngomsebenzi omunye) kodwa izipho, ama{donation} kanye nemiklomelo ibala njenge holo.;7
Income and expenditure;Retention;MC;Ngokwezimali, kuyini ama {{earnings}}? ;Imali oyiholayo emsebenzini;Yonke imali oyitholayo, ngisho nama {donation};Imiklomelo;Imali yentela;Ama {earning} imali abantu abayihola ngomsebenzi. Awayibali imali yama {donation} noma izipho zemali nemiklomelo;7
Income and expenditure;Retention;MC;Imali oyithola emsebenzini ibizwa ngani;Ama {earning};Izindleko;Intela;Ama {donation};Iholo lenyanga yimali oyithola emsebenzini ngenyanga. Ebantwini abaningi, iholo labo liqhamuka emsebenzini. Abanye basebenza imisebenzi eminingi la imlai iqhamuka khona;8
Income and expenditure;Retention;MC;Ibizwa ngani imali oyithola njalo ngenyanga;Iholo lenyanga;Intela yenyanga;Imiklomelo yenyanga;Izindleko zenyanga;Iholo lenyanga yimali oyithola emsebenzini ngenyanga. Ebantwini abaningi, iholo labo liqhamuka emsebenzini. Abanye basebenza imisebenzi eminingi la imlai iqhamuka khona;9
Income and expenditure;Retention;Y/N;Ukusebenza yiyona yodwa yini indlela yokuthola iholo?;Cha;Yebo;;;Izindlela ezihlukile sokuthola iholo ziphatha iholo lenyanga, iholo le {wage}, ukudayisa, kanye nama {donation}.;10
Income and expenditure;Retention;Y/N;Ukuba nebhizinisi lakho yindlela yokwenza imali ;Yebo;Cha;;;Akubona bonke abantu abasebenzela abanye abantu. i{Profit} ongayenza ngebhizinisi lakho yindlela ehlakaniphile yokuthola i{income};11
Income and expenditure;Retention;MC;Izindlela ezahlukile zokuthola imali zibizwa ngani;Imvelaphi yeloho ({source of income});Imvelaphi yentela ({sources of tax});Imali ephumayo ({deductions});Izindleko;Imvelaphi yeholo ifaka iholo lenyanga neholo lama {wage} (kwabasebenzea abanye abantu), i{commission}, ukudayisa, ama{donation}, kanye ne mela ebuya kuzitshalo mali ({return on investment}).;12
Income and expenditure;Retention;MC;Kuyini {{imali}} engena {{ekhaya}} ({{household income}})?;Imali yabantu abahlala ndawonye ihlangnisiwe;Ukunyuka kwesibizo sekhaya;Isibizo sendlu yasekhaya;Imali oyihola ngomculo we {house};Imali engena ekhaya ({household income}) yimila yabo bonke abantu abahlala ekhaya ndawonye. Kunabantu abangaholi endlini, abangafaki imali endlini, njengezingane ezincane.;13
Income and expenditure;Application;Y/N;Umuntu uyakwazi yini ukuba namaholo ({source of income}) angaphezulu kweholo eliyi 1?;Yebo;Cha;;;Ungaba nemisebenzi namaholo amaningi, uma nje ukhokha intela efanele kulawomaholo;13
